product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Magic Pudding Christmas Fabric - The Scenic Route,Melco Fabrics,Art Print Fabric,4,63.640,0.000,0.000,63.640,6.360,70.000
Pelican Stripes - Mel Armstrong,Melco Fabrics,Art Print Fabric,4,80.000,0.000,0.000,80.000,8.000,88.000
Little Gypsy - Solitude (warm)`,Melco Fabrics,Art Print Fabric,4,80.000,0.000,0.000,80.000,8.000,88.000
Freehand squiggle dots - on black,Melco Fabrics,Art Print Fabric,4,63.640,0.000,0.000,63.640,6.360,70.000
Fleur flowers (in pastels),Melco Fabrics,Art Print Fabric,4,69.090,0.000,0.000,69.090,6.910,76.000
Green Dark Dinos Palms,Melco Fabrics,Art Print Fabric,4,76.350,-16.590,0.000,59.760,5.980,65.740
Bats  - Black on Light Beige - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,4,69.090,0.000,0.000,69.090,6.910,76.000
Lovely Day Blue - Ellen McKenna,Melco Fabrics,Art Print Fabric,4,63.640,0.000,0.000,63.640,6.360,70.000
Botanica Indigo - The Scenic Route,Melco Fabrics,Art Print Fabric,4,69.090,0.000,0.000,69.090,6.910,76.000
Banksia and Myrtle Christmas - The Scenic Route,Melco Fabrics,Art Print Fabric,4,67.730,0.000,0.000,67.730,6.770,74.500
Strawberry Jam,Melco Fabrics,Art Print Fabric,4,80.000,0.000,0.000,80.000,8.000,88.000
Sleepy Clouds on Biscuit linen look,Melco Fabrics,Art Print Fabric,3,47.730,0.000,0.000,47.730,4.770,52.500
Bohemian Bloom Sable,Melco Fabrics,Art Print Fabric,3,47.730,0.000,0.000,47.730,4.770,52.500
Whispering Wildflower Blush,Melco Fabrics,Art Print Fabric,3,51.820,0.000,0.000,51.820,5.180,57.000
Fairytale Ecru - The Scenic Route,Melco Fabrics,Art Print Fabric,3,53.180,0.000,0.000,53.180,5.320,58.500
Raindrops on chocolate linen look,Melco Fabrics,Art Print Fabric,3,47.730,0.000,0.000,47.730,4.770,52.500
Whispering Wildflower Breeze,Melco Fabrics,Art Print Fabric,3,51.820,0.000,0.000,51.820,5.180,57.000
Daisy Shell Floral Lilac,Melco Fabrics,Art Print Fabric,3,51.820,0.000,0.000,51.820,5.180,57.000
Celeste Blue - Ellen McKenna,Melco Fabrics,Art Print Fabric,3,54.090,0.000,0.000,54.090,5.410,59.500
Whispering Wildflower Wanderlust,Melco Fabrics,Art Print Fabric,3,51.820,0.000,0.000,51.820,5.180,57.000
Tossed Pumpkins  - Black - Cute Halloween Fabric,Melco Fabrics,Art Print Fabric,3,47.730,0.000,0.000,47.730,4.770,52.500
Praline stripes linen look,Melco Fabrics,Art Print Fabric,3,51.820,0.000,0.000,51.820,5.180,57.000
"Checkery Checker (Tangerine, blue, pink, yellow, spearmint)",Melco Fabrics,Art Print Fabric,3,50.460,0.000,0.000,50.460,5.040,55.500
Freehand squiggle dots - burnished lilac,Melco Fabrics,Art Print Fabric,3,47.730,0.000,0.000,47.730,4.770,52.500
Red Daisies - Mel Armstrong,Melco Fabrics,Art Print Fabric,3,47.730,0.000,0.000,47.730,4.770,52.500
Organic Checkerboard (dusty blue),Melco Fabrics,Art Print Fabric,3,55.950,0.000,0.000,55.950,1.910,57.860
Inked floral sundance,Melco Fabrics,Art Print Fabric,3,55.170,0.000,0.000,55.170,0.000,55.170
Green gum stripes,Melco Fabrics,Art Print Fabric,3,52.770,0.000,0.000,52.770,1.590,54.360
Native Florals,Melco Fabrics,Art Print Fabric,3,51.820,0.000,0.000,51.820,5.180,57.000
Magic Pudding Ginger Christmas Fabric - The Scenic Route,Melco Fabrics,Art Print Fabric,3,50.460,0.000,0.000,50.460,5.040,55.500
Lillipili and Lorikeet Pale Pink Christmas Fabric - The Scenic Route,Melco Fabrics,Art Print Fabric,3,47.730,0.000,0.000,47.730,4.770,52.500
Summer play -  banana toss cream,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Floating Seaweed- Mel Armstrong,Melco Fabrics,Art Print Fabric,2,35.450,0.000,0.000,35.450,3.550,39.000
Leopard,Melco Fabrics,Art Print Fabric,2,31.820,0.000,0.000,31.820,3.180,35.000
Organic Checkerboard (watermelon red),Melco Fabrics,Art Print Fabric,2,37.270,0.000,0.000,37.270,3.730,41.000
Pelican Waves - Mel Armstrong,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
Smiley face sunshine (yellow),Melco Fabrics,Art Print Fabric,2,40.560,0.000,0.000,40.560,0.000,40.560
Organic Checkerboard (celery green),Melco Fabrics,Art Print Fabric,2,38.180,0.000,0.000,38.180,3.820,42.000
Cockatoo Australian Birds in Sky blue,Melco Fabrics,Art Print Fabric,2,31.820,0.000,0.000,31.820,3.180,35.000
Banksia and Myrtle - The Scenic Route,Melco Fabrics,Art Print Fabric,2,34.550,0.000,0.000,34.550,3.450,38.000
